apc,statusIndicator,effectiveDate,paymentRate,nationalCoinsurance,minimumCoinsurance
00701,K,20240101,003975.00,00795.00,00795.00
00702,G,20240101,000003.25,00000.65,00000.65
00703,G,20240101,000005.34,00001.07,00001.07
00704,G,20240101,000337.97,00067.60,00067.60
00705,G,20240101,000108.15,00021.63,00021.63
00706,G,20240101,000066.69,00013.34,00013.34
00707,G,20240101,000705.55,00141.11,00141.11
00708,G,20240101,000176.87,00035.38,00035.38
00709,G,20240101,000000.00,00000.00,00000.00
00710,G,20240101,000424.00,00084.80,00084.80
00711,K,20240101,000047.31,00009.47,00009.47
00712,K,20240101,000093.67,00018.74,00018.74
00713,G,20240101,012007.81,02401.57,02401.57
00715,G,20240101,000219.16,00043.84,00043.84
00716,G,20240101,002570.50,00514.10,00514.10
00717,G,20240101,061800.00,12360.00,12360.00
00718,K,20240101,000594.08,00118.82,00118.82
00719,G,20240101,000003.76,00000.76,00000.76
00720,G,20240101,002631.38,00526.28,00526.28
00721,G,20240101,000022.90,00004.59,00004.59
00722,K,20240101,000000.00,00000.00,00000.00
00723,K,20240101,000033.17,00006.64,00006.64
00724,K,20240101,000000.89,00000.18,00000.18
00726,K,20240101,000123.88,00024.78,00024.78
00731,K,20240101,000058.26,00011.66,00011.66
00736,K,20240101,000027.92,00005.59,00005.59
00738,K,20240101,000358.43,00071.69,00071.69
00752,K,20240101,000838.46,00167.70,00167.70
00759,K,20240101,000003.96,00000.80,00000.80
00800,K,20240101,001524.34,00304.87,00304.87
00802,K,20240101,000076.53,00015.31,00015.31
00807,K,20240101,003628.26,00725.66,00725.66
00810,K,20240101,000611.35,00122.27,00122.27
00812,K,20240101,000409.70,00081.95,00081.95
00820,K,20240101,000031.64,00006.33,00006.33
00825,K,20240101,000116.65,00023.33,00023.33
00827,K,20240101,003551.00,00710.20,00710.20
00836,K,20240101,000032.57,00006.52,00006.52
00840,K,20240101,000176.25,00035.26,00035.26
00843,K,20240101,025781.46,05156.30,05156.30
00844,K,20240101,002336.98,00467.40,00467.40
00850,K,20240101,000370.18,00074.04,00074.04
00851,K,20240101,000260.25,00052.06,00052.06
00856,K,20240101,022490.02,04498.01,04498.01
00858,K,20240101,000016.76,00003.36,00003.36
00864,K,20240101,000041.39,00008.28,00008.28
00874,K,20240101,000008.77,00001.76,00001.76
00875,K,20240101,000123.14,00024.63,00024.63
00877,K,20240101,000136.26,00027.26,00027.26
00887,K,20240101,000237.83,00047.57,00047.57
00890,K,20240101,003254.87,00650.98,00650.98
00901,K,20240101,000004.81,00000.97,00000.97
00902,K,20240101,000006.33,00001.27,00001.27
00903,K,20240101,001667.59,00333.52,00333.52
00925,K,20240101,000001.19,00000.24,00000.24
00927,K,20240101,000001.50,00000.31,00000.31
00928,K,20240101,000001.61,00000.33,00000.33
00929,K,20240101,000002.30,00000.46,00000.46
00931,K,20240101,000001.32,00000.27,00000.27
00932,K,20240101,000001.74,00000.35,00000.35
00943,K,20240101,000044.79,00008.96,00008.96
00944,K,20240101,000044.46,00008.90,00008.90
00946,K,20240101,000062.16,00012.44,00012.44
00947,K,20240101,000056.12,00011.23,00011.23
00948,K,20240101,000049.26,00009.86,00009.86
00961,K,20240101,000010.62,00002.13,00002.13
00963,K,20240101,000053.08,00010.62,00010.62
00964,K,20240101,000021.23,00004.25,00004.25
00965,K,20240101,000053.08,00010.62,00010.62
01015,K,20240101,000153.01,00030.61,00030.61
01064,K,20240101,000023.73,00004.75,00004.75
01083,K,20240101,001834.49,00366.90,00366.90
01138,K,20240101,000062.16,00012.44,00012.44
01139,K,20240101,000015.14,00003.03,00003.03
01142,K,20240101,044695.10,08939.03,08939.03
01150,K,20240101,000022.71,00004.55,00004.55
01168,K,20240101,000029.68,00005.94,00005.94
01178,K,20240101,000001.04,00000.21,00000.21
01203,K,20240101,000011.24,00002.25,00002.25
01207,K,20240101,000207.16,00041.44,00041.44
01213,K,20240101,000001.22,00000.25,00000.25
01214,K,20240101,000047.59,00009.52,00009.52
01232,K,20240101,000095.61,00019.13,00019.13
01233,K,20240101,000002.56,00000.52,00000.52
01234,K,20240101,000000.56,00000.12,00000.12
01235,K,20240101,001426.65,00285.34,00285.34
01236,K,20240101,000000.06,00000.02,00000.02
01237,K,20240101,000017.41,00003.49,00003.49
01238,K,20240101,000113.78,00022.76,00022.76
01263,K,20240101,000003.71,00000.75,00000.75
01268,K,20240101,000001.31,00000.27,00000.27
01274,K,20240101,005708.59,01141.72,01141.72
01281,K,20240101,000001.85,00000.37,00000.37
01289,K,20240101,000008.22,00001.65,00001.65
01295,K,20240101,017259.85,03451.98,03451.98
01296,K,20240101,000004.13,00000.83,00000.83
01297,K,20240101,000000.50,00000.11,00000.11
01311,K,20240101,000122.06,00024.42,00024.42
01312,K,20240101,000012.73,00002.55,00002.55
01327,K,20240101,000044.14,00008.83,00008.83
01331,K,20240101,000002.92,00000.59,00000.59
01340,K,20240101,000067.75,00013.55,00013.55
01341,K,20240101,000171.17,00034.24,00034.24
01352,K,20240101,000001.30,00000.26,00000.26
01353,K,20240101,000051.97,00010.40,00010.40
01408,K,20240101,000017.94,00003.59,00003.59
01413,K,20240101,000197.07,00039.42,00039.42
01415,K,20240101,000005.42,00001.09,00001.09
01416,K,20240101,000009.67,00001.94,00001.94
01417,K,20240101,000515.30,00103.07,00103.07
01420,K,20240101,000868.24,00173.65,00173.65
01421,K,20240101,000424.10,00084.82,00084.82
01426,K,20240101,000130.87,00026.18,00026.18
01431,K,20240101,004710.90,00942.18,00942.18
01433,K,20240101,001296.36,00259.28,00259.28
01440,K,20240101,000006.15,00001.23,00001.23
01442,K,20240101,000010.00,00002.00,00002.00
01443,K,20240101,000146.81,00029.37,00029.37
01446,K,20240101,000007.49,00001.50,00001.50
01458,K,20240101,000453.66,00090.74,00090.74
01466,K,20240101,003420.78,00684.16,00684.16
01467,K,20240101,000001.60,00000.33,00000.33
01468,K,20240101,000006.82,00001.37,00001.37
01469,K,20240101,000000.99,00000.20,00000.20
01471,K,20240101,000015.42,00003.09,00003.09
01472,K,20240101,000053.88,00010.78,00010.78
01474,K,20240101,000004.90,00000.98,00000.98
01475,K,20240101,000012.93,00002.59,00002.59
01476,K,20240101,000070.29,00014.06,00014.06
01478,K,20240101,000001.38,00000.28,00000.28
01480,K,20240101,000280.92,00056.19,00056.19
01482,K,20240101,000002.95,00000.59,00000.59
01485,K,20240101,000000.50,00000.11,00000.11
01486,K,20240101,000003.47,00000.70,00000.70
01488,K,20240101,000069.00,00013.81,00013.81
01489,K,20240101,000022.30,00004.46,00004.46
01490,K,20240101,000056.41,00011.29,00011.29
01491,S,20240101,000005.00,00001.00,00001.00
01492,S,20240101,000015.50,00003.10,00003.10
01493,S,20240101,000025.50,00005.10,00005.10
01494,S,20240101,000035.50,00007.10,00007.10
01495,S,20240101,000045.50,00009.10,00009.10
01496,T,20240101,000005.00,00001.00,00001.00
01497,T,20240101,000015.50,00003.10,00003.10
01498,T,20240101,000025.50,00005.10,00005.10
